"INCIDENT_ID","REPORTDATE","INCIDENT_ADDRESS","DISTRICT_ID","PRECINCT_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2012437272",2012-09-20,"1853 S LINCOLN ST, Denver, CO","3","313","Larceny","NON-INDUSTRY
","platt-park"
"2014323156",2014-06-24,"3801 N JASON ST, Denver, CO","1","112","Burglary","INDUSTRY
","sunnyside"
"2015448783",2015-08-07,"6302 E COLFAX AVE, Denver, CO","2","222","Agg ASLT-Other","INDUSTRY
","montclair"
"2016138933",2016-03-04,"5155 E 46TH AVE, Denver, CO","2","221","Drug Offenses","INDUSTRY
","northeast-park-hill"
"2012318901",2012-07-17,"2383 S DOWNING ST, Denver, CO","3","313","Burglary","INDUSTRY
","rosedale"
"201695696",2016-02-14,"2330 N BROADWAY ST, Denver, CO","6","621","Burglary","NON-INDUSTRY
","five-points"
"20129131",2012-01-07,"1728 E 17TH AVE, Denver, CO","6","622","Burglary","INDUSTRY
","city-park-west"
"2013172322",2013-04-18,"1920 S CHEROKEE ST, Denver, CO","3","313","Burglary","INDUSTRY
","overland"
"2013204474",2013-05-08,"2731 W SHORT PL, Denver, CO","4","411","Burglary","INDUSTRY
","valverde"
"2014417596",2014-08-10,"505 W 40TH AVE, Denver, CO","1","112","Burglary","INDUSTRY
","globeville"
"2012202042",2012-05-14,"3722 CHESTNUT PL, Denver, CO","2","211","Burglary","INDUSTRY
","five-points"
"2012513454",2012-11-03,"2000 S DAHLIA ST, Denver, CO","3","322","Burglary","INDUSTRY
","virginia-village"
"2015393733",2015-07-13,"777 N CANOSA CT, Denver, CO","1","122","Burglary","INDUSTRY
","sun-valley"
"2012241493",2012-06-05,"990 W 6TH AVE, Denver, CO","3","311","Burglary","INDUSTRY
","baker"
"2014570633",2014-10-26,"4 S SANTA FE DR, Denver, CO","3","311","Robbery-Business","INDUSTRY
","baker"
"2012437293",2012-09-20,"4773 N FOX ST, Denver, CO","1","112","Burglary","INDUSTRY
","globeville"
"2013149063",2013-04-03,"1131 W CUSTER PL, Denver, CO","4","412","Larceny","INDUSTRY
","athmar-park"
"2012179859",2012-05-01,"3525 S TAMARAC DR, Denver, CO","3","324","Burglary","INDUSTRY
","hampden-south"
"2016446883",2016-07-15,"2323 S LIPAN ST, Denver, CO","4","422","Burglary","INDUSTRY
","college-view-south-platte"
"2016257214",2016-04-25,"225 N MARIPOSA ST, Denver, CO","3","311","Larceny","INDUSTRY
","baker"
